sample_index,time_s,initial_chi_square,theoretical_threshold,operating_threshold,initial_status,pmu_screen_candidate,pmu_screened,pmu_screen_energy,pmu_screen_share,pmu_screen_threshold,detected_pmu,pmu_isolated,corrected_chi_square,corrected_theoretical_threshold,corrected_operating_threshold,corrected_status,chi_square_reduction,correction_candidate,active_measurements,actual_faulty_pmu,actual_fault_type,actual_fault_detail,truth_window_start,truth_window_end,truth_window_t0_s,truth_window_t1_s
19,0.019,3.244717786038627,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.881409223431998,0.5798375536779581,9.487729036781154,,,3.244717786038627,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,0,19,0.0,0.019
39,0.039,4.993843949003925,12.591587243743977,5782.822297849418,PASS,False,PMU3,3.273897494956013,0.655586663978362,9.487729036781154,,,4.993843949003925,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,20,39,0.02,0.039
59,0.059,3.176837692046839,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.073114382532842,0.6525717028990339,9.487729036781154,,,3.176837692046839,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,40,59,0.04,0.059
79,0.079,2.6600875018632157,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.7388532536920172,0.6536827275321075,9.487729036781154,,,2.6600875018632157,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,60,79,0.06,0.079
99,0.099,3.2156202627499475,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.0753307957725498,0.6453905082678387,9.487729036781154,,,3.2156202627499475,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,80,99,0.08,0.099
119,0.119,5.114787621414075,12.591587243743977,5782.822297849418,PASS,False,PMU3,3.307780593976869,0.6467092749126452,9.487729036781154,,,5.114787621414075,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,100,119,0.1,0.119
139,0.139,3.1340797844646655,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.7029557693787059,0.5433670763010231,9.487729036781154,,,3.1340797844646655,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,120,139,0.12,0.139
159,0.159,3.2344673003014908,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.075369296986972,0.6416417617805328,9.487729036781154,,,3.2344673003014908,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,140,159,0.14,0.159
179,0.179,2.0676251673038077,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.354235706944716,0.6549715723912597,9.487729036781154,,,2.0676251673038077,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,160,179,0.16,0.179
199,0.199,2.0685375144799623,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.356402190277438,0.6557300415305459,9.487729036781154,,,2.0685375144799623,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,180,199,0.18,0.199
219,0.219,2.4726182372072256,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.619974629144383,0.6551656882439373,9.487729036781154,,,2.4726182372072256,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,200,219,0.2,0.219
239,0.239,4.026896692273594,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.615815499796539,0.6495859466212539,9.487729036781154,,,4.026896692273594,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,220,239,0.22,0.239
259,0.259,3.3802063225543764,12.591587243743977,5782.822297849418,PASS,False,PMU3,1.8075527698383416,0.5347462839109769,9.487729036781154,,,3.3802063225543764,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,240,259,0.24,0.259
279,0.279,3.3939416970761673,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.218184965575121,0.6535719124126546,9.487729036781154,,,3.3939416970761673,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,260,279,0.26,0.279
299,0.299,1.645199220109297,12.591587243743977,5782.822297849418,PASS,False,PMU3,0.980422653133891,0.5959294419485306,9.487729036781154,,,1.645199220109297,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,280,299,0.28,0.299
319,0.319,4.176330416441546,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.3064923584249994,0.5522772693809636,9.487729036781154,,,4.176330416441546,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,300,319,0.3,0.319
339,0.339,4.151236808595673,12.591587243743977,5782.822297849418,PASS,False,PMU3,2.684683799253358,0.6467190196652652,9.487729036781154,,,4.151236808595673,12.591587243743977,5782.822297849418,PASS,0.0,,12,,,,320,339,0.32,0.339
