Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),PMU1 Voltage DFT Real,PMU1 Voltage DFT Imag,PMU1 Voltage Magnitude,PMU1 Voltage Phase,PMU1 Voltage DFT RMS,PMU1 Current DFT Real,PMU1 Current DFT Imag,PMU1 Current Magnitude,PMU1 Current Phase,PMU1 Current DFT RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,PMU2 Voltage DFT Real,PMU2 Voltage DFT Imag,PMU2 Voltage Magnitude,PMU2 Voltage Phase,PMU2 Voltage DFT RMS,PMU2 Current DFT Real,PMU2 Current DFT Imag,PMU2 Current Magnitude,PMU2 Current Phase,PMU2 Current DFT RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,PMU3 Voltage DFT Real,PMU3 Voltage DFT Imag,PMU3 Voltage Magnitude,PMU3 Voltage Phase,PMU3 Voltage DFT RMS,PMU3 Current DFT Real,PMU3 Current DFT Imag,PMU3 Current Magnitude,PMU3 Current Phase,PMU3 Current DFT RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.0,0.0,2.2872453577253893,-11.34898061516352,1.1637348473402656,-22.62551225890704,-3.450980205065618,10,0.0,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.001,101.03305582900218,4.519672639932336,89.63460470403929,1.803203498907164,78.4673618976219,-6.32287613883959,10,18.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.002,192.17619619251573,6.309646589115682,181.844104662334,2.266189228088942,171.87929171176395,-8.575835817204654,10,36.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.003,264.50770982101045,7.481942755814145,256.2534144852112,2.507378669866693,248.4664681969487,-9.989321425680837,10,54.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.004,310.9473065336364,7.921803759869519,305.5788382009455,2.503166088097967,300.73200749505463,-10.424969847967484,10,72.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.005,326.94918318596376,7.586173018745157,324.9920669911297,2.2539637195561464,323.55979784872915,-9.840136738301304,10,90.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.006,310.94699579915334,6.507909418592549,312.5928069813356,1.7841614322948482,314.7152999349391,-8.292070850887372,10,108.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.007,264.5071811679364,4.792570367369989,269.59479244099634,1.139739646261123,275.06427876625474,-5.932310013631089,10,126.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.008,192.175620059112,2.608078175137846,200.2069762032514,0.3837691438941153,208.4880561942381,-2.9918473190319403,10,144.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.009,101.03265197400276,0.1682813787588692,111.22152729385914,-0.4097617873153349,121.50357972806732,0.2414804085565829,10,162.00000000000003,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.01,4.0039627036423226e-14,-2.287979732666512,11.348965504488016,-1.163188730969437,22.625498014390395,3.4511684636360225,10,180.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.011,-101.03255101030878,-4.520254033577414,-89.63448537069308,-1.802772309178944,-78.4673124963229,6.323026342756347,10,198.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.012,-192.17523597039863,-6.310018078890315,-181.8438625904149,-2.265915200233965,-171.8791835003959,8.575933279124282,10,216.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.013,-264.50638818880543,-7.482067962643343,-256.2530733913396,-2.5072886628764377,-248.46631176799747,9.989356625519816,10,234.00000000000003,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.014,-310.9457528620066,-7.921670410692273,-305.57843148931465,-2.5032689521285625,-300.73181816087884,10.424939362820863,10,252.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.015,-326.94754955918125,-7.585794149546956,-324.99163448214864,-2.2542494257315764,-323.5595941426797,9.840043575278498,10,270.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.016,-310.9454421280143,-6.507322100031001,-312.59239101288193,-1.784602050471802,-314.7151017971846,8.291924150502775,10,288.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.017,-264.5058595365658,-4.791832077574964,-269.59443372400153,-1.1402920754291797,-275.06410559189817,5.9321241530040885,10,306.0,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.018,-192.17465983790444,-2.607261174590894,-200.20670983731205,-0.3843793282923252,-208.48792493478985,2.9916405028831754,10,324.00000000000006,0.001,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,False,False
0.019,-101.0321471559473,-0.1674656377573894,-111.22137933282436,0.4091535687829711,-121.50350323211242,-0.2416879310256942,10,342.0,0.001,0.0025138927352941,-3269.483663726146,1.0060129925490546,-90.4680299254114,231.18740696000788,22.8796463364925,-75.85870554009969,0.7927624939018016,-73.7032839169787,5.602687490259709,-0.5701156920474232,0.0042283045546582,0.0826832783471756,0.00038,False,False,-113.4890046132186,-3249.918484191074,1.000575476251636,-92.42397512593276,229.94401392572615,11.631992914652614,-22.54190661534682,0.2537781690985449,-63.36564759351537,1.7936566185052611,-0.4968318115350719,0.0011681748550436,-0.1636707141257186,0.00038,False,False,-226.25468091706276,-3235.5969380370047,0.9980005800070112,-93.53363663030312,229.3499370620289,-34.51163925114561,98.40061215544634,1.0424583446597493,109.45721030304604,7.373511279020256,0.3086130419915178,-0.0031362065039412,-0.1788706120967916,0.00038,False,False
0.02,-8.007885395007932e-14,2.2887143617309373,-11.34895040807396,1.1626420195960208,-22.62548376987933,-3.451356381327029,10,0.0,0.001,1010.3284057767124,-3109.4629664717268,1.0059649189075297,-72.90420179996396,231.18740696000796,45.20286302785745,-65.07526273115987,0.7922668129410517,-56.05086202066101,5.602717485936948,-0.5701156920474232,-0.000770925346406,-0.2659318369703993,0.0004,False,False,896.345613311708,-3125.926173583667,1.0005653229595428,-74.62429315659409,229.94401385118255,18.02747554778729,-17.844481389510687,0.2537601225977359,-45.39807216078791,1.7936211844849823,-0.4968318115350719,0.0010378211190018,-0.1939216433706944,0.0004,False,False,784.6734792672003,-3147.152084681399,0.9980186793045374,-75.34455652526219,229.34993692150613,-63.23033857564526,82.9197441206702,1.042523173301627,127.66255355827754,7.373520082507457,0.3086130419915178,-0.0025003700961587,0.0262575991295071,0.0004,False,False
0.021,101.03204619249256,4.5208356329269215,89.6343661499966,1.802340637680728,78.46726309504567,-6.323176270607648,10,18.0,0.001,1921.755353709956,-2645.066681151482,1.0059935018981805,-54.48751878120776,231.18738489859905,63.10094560725005,-47.92144041547813,0.7933998223998817,-37.61294536775676,5.602764401625037,-0.5701156920474232,0.010492820439512,0.1712741236868349,0.00042,False,False,1818.439420313104,-2695.9465032148223,1.000605262976901,-56.37615545832573,229.94400920164117,22.658575467448863,-11.400580634239402,0.2541035353973505,-26.976434727700347,1.793577822415116,-0.4968318115350719,0.0045332723424448,0.2290669447792138,0.00042,False,False,1718.792209703323,-2750.642088310914,0.9979900879953024,-57.62719666351468,229.34993523134312,-85.75952107469924,59.32202104971708,1.043242089194087,146.00348331535417,7.37353295116556,0.3086130419915178,0.0046705897976226,0.3670362231859106,0.00042,False,False
0.022,192.1742757501009,6.310389705880782,181.84362074705183,2.2656408509465265,171.87907528907886,-8.576030556827334,10,36.0,0.001,2645.0666811524266,-1921.7534332662408,1.005985995585157,-36.50326519821193,231.1873050798129,74.82181173351222,-26.07650398791173,0.792103809816782,-19.54137795974724,5.602806248353018,-0.5701156920474232,-0.0025264856017389,0.2424965405014199,0.0004399999999999,False,False,2562.5314853650707,-2002.0689548855585,1.0005999672238863,-38.64539529222888,229.94399006718865,25.072037472349955,-3.840881071829085,0.2540467914755391,-9.216101293924416,1.7935431837885245,-0.4968318115350719,0.0040148195398394,-0.0100628629033742,0.0004399999999999,False,False,2484.663476096553,-2084.880146364496,0.9980216727229896,-40.03657310368926,229.3499271217788,-99.89384920586232,29.91738505974029,1.0426870012012983,163.72510532003227,7.373544275983,0.3086130419915178,-0.00089630584068,0.0885773567876077,0.0004399999999999,False,False
0.023,264.50506655931315,7.482193224851127,256.25273261957744,2.507198526187516,248.4661553391262,-9.989391751038657,10,54.0,0.001,3109.459859131619,-1010.3263865021866,1.0059894388483597,-18.64548482481137,231.18715386903952,79.21809270652655,-1.6789402651328986,0.7925470141925175,-1.6678682781507712,5.60282297260663,-0.5701156920474232,0.0018819064893375,0.1159266169810062,0.00046,False,False,3055.784949845324,-1112.2151587255237,1.0005944680186032,-20.39665831433622,229.9439520731087,25.031650812623,4.094735023425578,0.2538755604023155,8.658401673815806,1.7935305925982383,-0.4968318115350719,0.0023203154396716,-0.1355182751341573,0.00046,False,False,3007.318488658281,-1215.0357061561656,0.9979947939257192,-21.370424028076844,229.3499101750461,-104.24974351914952,-2.415794758293234,1.0430549672260845,-178.28595549303606,7.373549039683215,0.3086130419915178,0.0027766175177321,0.0774854577070338,0.00046,False,False
0.024,310.9441991938117,7.921537029727826,305.5780251618319,2.503371890814519,300.7316288268079,-10.424908920542364,10,72.0,0.001,3269.4771292241558,-0.0025138902532404,1.0059827448857517,-0.37812502416667,231.18694490094097,75.85945067604274,22.882887404515124,0.7927685097954649,16.431375401282114,5.602804116171953,-0.5701156920474232,0.0041235295444695,0.2151543832539093,0.00048,False,False,3249.9168011485226,-113.49024481365956,1.0005558121237847,-2.4713237574332108,229.943898049669,22.541367639283823,11.629593521427758,0.2535702929397282,26.57256933350258,1.793544954166171,-0.4968318115350719,-0.0007526695103483,-0.2212955658291308,0.00048,False,False,3235.596167053068,-226.25522239263668,0.997982584027167,-3.72314976890157,229.3498853488753,-98.4008183153264,-34.512480925943414,1.0431078824909366,-160.00902360231174,7.373544732619951,0.3086130419915178,0.0033118612735334,0.3543965728763273,0.00048,False,False
0.025,326.9459159362684,7.585415164599495,324.9912023817586,2.2545354035334597,323.55939043675096,-9.839950568132952,10,90.0,0.001,3109.4551981223017,1010.3205951630928,1.005994831479708,17.590088553952402,231.18671387149945,65.07470303753401,45.20454443074744,0.7921721797615788,34.2200367428187,5.602752811169996,-0.5701156920474232,-0.0017672145648038,0.0036374607715955,0.0005,False,False,3125.924143200221,896.3436178146078,1.00057517173902,15.465037869259143,229.94383694979757,17.8449162475235,18.02624303747437,0.2534556686794137,45.104881877136535,1.7935808790339247,-0.4968318115350719,-0.0019497175486965,0.3115890572179576,0.0005,False,False,3147.1511400890336,784.672573054288,0.9980125942038358,14.000003215305089,229.349856610674,-82.91961928505718,-63.23078746822226,1.0426284178387712,-142.62080185331385,7.3735323103076995,0.3086130419915178,-0.0014652174456578,-0.2574355334517993,0.0005,False,False
