
==============================================
 Automatic PDC Monitoring
==============================================
CSV samples             : 10000
Valid DSSE samples      : 9981
PDC scan rate           : 50.0 Hz
Scan interval           : 20 samples
First evaluated sample  : 19
Last evaluated sample   : 9999
Evaluation points       : 500

----------------------------------------------
 Robust Chi-Square Calibration
----------------------------------------------
Degrees of freedom      : 6
Theoretical threshold   : 12.591587
Baseline median J       : 810.358504
Baseline MAD            : 794.597088
MAD scale factor        : 1.4826
Robust sigma multiplier : 6.0
Operating threshold     : 7878.776356
Truth window            : 20 raw samples
Ground truth flags       : Bad Data / Sync Fault / Clock Drift
Ground truth is used only for post-run evaluation.
----------------------------------------------

[FAULT EVENT] t=4.279 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=82881.0909 | corrected=10.1844 | reduction=1.000

[FAULT EVENT] t=4.299 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=85930.5251 | corrected=7.3842 | reduction=1.000

[FAULT EVENT] t=4.359 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=88458.5617 | corrected=11.1544 | reduction=1.000

[FAULT EVENT] t=4.419 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=98008.6904 | corrected=10.7235 | reduction=1.000

[FAULT EVENT] t=4.479 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=102961.0720 | corrected=8.6898 | reduction=1.000

[FAULT EVENT] t=4.539 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=104042.7338 | corrected=10.3414 | reduction=1.000

[FAULT EVENT] t=4.599 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=112891.3175 | corrected=8.9139 | reduction=1.000

[FAULT EVENT] t=4.659 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=117313.3605 | corrected=11.0226 | reduction=1.000

[FAULT EVENT] t=4.719 s | Detected=PMU2 | Actual=PMU2[CLOCK_DRIFT] | J=123814.7935 | corrected=8.5121 | reduction=1.000

