Time (s),Signal 1 (A),Signal 2 (A),Signal 3 (A),Peak (A),Signal Angle (deg),Delta t (s),DFT1 Real,DFT1 Imag,DFT1 Magnitude,DFT1 Phase (deg),DFT1 RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,DFT2 Real,DFT2 Imag,DFT2 Magnitude,DFT2 Phase (deg),DFT2 RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,DFT3 Real,DFT3 Imag,DFT3 Magnitude,DFT3 Phase (deg),DFT3 RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.0,0.0,3.090169943749474,7.071067811865475,10,0.0,,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.001,3.090169943749474,5.877852522924732,8.902930134836835,10,18.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.002,5.877852522924732,8.090169943749475,9.871930150382255,10,36.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.003,8.090169943749475,9.510565162951535,9.884124098018406,10,54.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.004,9.510565162951535,10.0,8.938301847620506,10,72.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.005,10.0,9.510565162951535,7.126110609058349,10,90.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.006,9.510565162951535,8.090169943749475,4.623178092319587,10,108.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.007,8.090169943749475,5.877852522924733,1.672094581330422,10,126.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.008,5.877852522924733,3.090169943749471,-1.441097364134443,10,144.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.009000000000000001,3.090169943749471,-7.6571373978539e-15,-4.4146273147422574,10,162.00000000000003,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.01,1.2246467991473533e-15,-3.0901699437494727,-6.9602484285998445,10,180.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.011,-3.0901699437494727,-5.877852522924734,-8.831180528327899,10,198.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.012,-5.877852522924734,-8.09016994374948,-9.84603584200919,10,216.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.013000000000000001,-8.09016994374948,-9.510565162951538,-9.906407558725906,10,234.00000000000003,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.014,-9.510565162951535,-10.0,-9.006415410460306,10,252.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.015,-10.0,-9.510565162951536,-7.2332820133118005,10,270.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.016,-9.510565162951536,-8.09016994374947,-4.758883136033199,10,288.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.017,-8.09016994374947,-5.877852522924726,-1.823090135364172,10,306.0,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.018000000000000002,-5.877852522924726,-3.090169943749468,1.2894813339113174,10,324.00000000000006,0.001,,,,,,,,,,False,False,,,,,,,,,,False,False,,,,,,,,,,False,False
0.019,-3.0901699437494763,-2.4492935982947065e-15,4.277062736794038,10,342.0,0.001,1.0658141036401503e-14,-100.0,9.992791366259842,-89.68430178108102,7.071067811865475,0.16172177186268408,-0.007208633740158232,0.1535964470562885,0.00038,False,False,30.901699437494766,-95.10565162951534,10.001622082090886,-74.00509067297565,7.071067811865474,-1.9402401017235513,0.0016220820908879208,-0.06523057125213359,0.00038,False,False,69.54917120457162,-71.96644100943051,10.001798196822916,-44.24202607340096,7.076812787832759,1.7877275635101635,-0.006326426105525096,-0.05154273842483517,0.00038,False,False
0.02,-2.4492935982947065e-15,3.09016994374948,6.849989524078089,10,0.0,0.001,30.90169943749475,-95.10565162951535,10.004405371323488,-71.84927562581821,7.071067811865475,0.16172177186268408,0.004405371323488496,-0.011397397680896267,0.0004,False,False,58.778525229247336,-80.90169943749473,10.004168690372673,-55.94751778373267,7.071067811865476,-1.9402401017235513,0.004168690372671151,-0.007677682009129526,0.0004,False,False,88.1737878274197,-47.020593777697904,9.985482156946999,-26.382702716421974,7.065958214935222,1.7877275635101635,-0.007291781775977765,-0.1010886482228143,0.0004,False,False
0.021,3.09016994374948,5.877852522924735,8.75878695477936,10,18.0,0.001,58.77852522924732,-80.90169943749473,10.003698481111318,-53.44674559086199,7.071067811865475,0.16172177186268408,0.0036984811113178534,0.3911126372753193,0.00042,False,False,80.90169943749476,-58.77852522924728,10.001489718141986,-38.178676927680044,7.071067811865475,-1.9402401017235513,0.0014897181419858694,-0.23885682595650815,0.00042,False,False,98.2513297319302,-17.51658590752438,9.979020284091616,-8.240142552236742,7.056966266019753,1.7877275635101635,-0.0010371185229379914,0.080390603652436,0.00042,False,False
0.022,5.877852522924729,8.090169943749473,9.818361573109343,10,36.0,0.001,80.90169943749474,-58.7785252292473,10.00290788828668,-35.65272333654288,7.071067811865475,0.16172177186268408,0.002907888286680806,0.18511489159443648,0.00043999999999999996,False,False,95.10565162951536,-30.90169943749471,10.000416400622477,-19.902271522200866,7.071067811865475,-1.9402401017235513,0.00041640062247776805,0.03752857952266529,0.00043999999999999996,False,False,98.80454336058565,13.68551383576624,9.971826037054264,9.846160233717743,7.053237227558278,1.7877275635101635,-0.0029577087934607115,0.17207403522335135,0.00043999999999999996,False,False
0.023,8.090169943749473,9.510565162951538,9.925952299717807,10,54.0,0.001,95.10565162951535,-30.901699437494727,9.995948997595617,-17.556697288177226,7.071067811865475,0.16172177186268408,-0.004051002404383655,0.28112093996008397,0.00046,False,False,100.0,3.907985046680551e-14,10.002034817248155,-2.0722260696873853,7.071067811865475,-1.9402401017235513,0.00203481724815583,-0.13244596796385635,0.00046,False,False,89.77942943443793,43.56090575739957,9.971642580968549,27.62196878493585,7.056166969388645,1.7877275635101635,-0.00728444550993341,-0.04884233632430673,0.00046,False,False
0.024,9.510565162951538,10.0,9.071099892581483,10,72.0,0.001,100.0,1.509903313490213e-14,10.000695165232116,0.46549999483529475,7.071067811865475,0.16172177186268408,0.0006951652321169216,0.30329822297260206,0.00048,False,False,95.10565162951535,30.901699437494784,9.99413163416233,15.897983340728686,7.071067811865476,-1.9402401017235513,-0.00586836583767173,-0.162256557547789,0.00048,False,False,72.05054966949254,69.21328956953435,9.986891876145894,45.76777919693097,7.0646164654255035,1.7877275635101635,-0.003984542223130665,0.13019288189277825,0.00048,False,False
0.025,10.0,9.510565162951531,7.336667255300947,10,90.0,0.001,95.10565162951536,30.901699437494756,9.994872732338248,18.119460182422916,7.071067811865475,0.16172177186268408,-0.005127267661753069,-0.042761589439775205,0.0005,False,False,80.90169943749473,58.77852522924735,10.00221555466087,34.13662039556715,7.071067811865476,-1.9402401017235513,0.002215554660868688,0.07636049729067164,0.0005,False,False,47.336313322696384,88.15565994322603,10.012626450934208,63.73911901667493,7.0753610999758125,1.7877275635101635,0.006554824661392276,0.18503723101169947,0.0005,False,False
